Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
27,4,81,1,3,3,2,v New Zealand,Hobart,27-Nov-97
28,6,88,5,3.14,3,4,v New Zealand,Hobart,27-Nov-97
42,15,64,3,1.52,4,2,v South Africa,Melbourne,26-Dec-97
44,11,97,3,2.2,4,4,v South Africa,Melbourne,26-Dec-97
32.1,8,75,5,2.33,3,1,v South Africa,Sydney,2-Jan-98
21,9,34,6,1.61,3,3,v South Africa,Sydney,2-Jan-98
33,6,95,2,2.87,3,1,v South Africa,Adelaide,30-Jan-98
15,2,52,1,3.46,4,3,v South Africa,Adelaide,30-Jan-98
35,11,85,4,2.42,3,1,v India,Chennai,6-Mar-98
30,7,122,1,4.06,4,3,v India,Chennai,6-Mar-98
42,4,147,0,3.5,4,2,v India,Kolkata,18-Mar-98
35,9,106,3,3.02,3,1,v India,Bangalore,25-Mar-98
25,6,80,2,3.2,3,3,v India,Bangalore,25-Mar-98
20,4,67,1,3.35,4,2,v England,Sydney,2-Jan-99
19,3,43,1,2.26,4,4,v England,Sydney,2-Jan-99
14,4,35,0,2.5,4,2,v West Indies,Port of Spain,5-Mar-99
DNB,-,-,-,-,-,4,v West Indies,Port of Spain,5-Mar-99
30,8,94,1,3.13,3,2,v West Indies,Kingston,13-Mar-99
DNB,-,-,-,-,-,4,v West Indies,Kingston,13-Mar-99
15.5,2,70,1,4.42,3,2,v West Indies,Bridgetown,26-Mar-99
24,4,69,0,2.87,3,4,v West Indies,Bridgetown,26-Mar-99
16,4,52,5,3.25,4,2,v Sri Lanka,Kandy,9-Sep-99
6.5,3,18,0,2.63,3,4,v Sri Lanka,Kandy,9-Sep-99
25,11,29,3,1.16,4,1,v Sri Lanka,Galle,22-Sep-99
3.2,1,5,0,1.5,4,3,v Sri Lanka,Galle,22-Sep-99
5,1,11,0,2.2,3,2,v Sri Lanka,Colombo (SSC),30-Sep-99
23,2,69,3,3,4,1,v Zimbabwe,Harare,14-Oct-99
30.1,11,68,3,2.25,5,3,v Zimbabwe,Harare,14-Oct-99
28.1,11,73,1,2.59,4,1,v Pakistan,Brisbane,5-Nov-99
25,8,80,2,3.2,4,3,v Pakistan,Brisbane,5-Nov-99
16,6,45,3,2.81,4,1,v Pakistan,Hobart,18-Nov-99
45.5,11,110,5,2.4,3,3,v Pakistan,Hobart,18-Nov-99
2,0,6,0,3,4,1,v Pakistan,Perth,26-Nov-99
13,1,56,1,4.3,4,3,v Pakistan,Perth,26-Nov-99
42,12,92,4,2.19,4,2,v India,Adelaide,10-Dec-99
10,6,21,2,2.1,3,4,v India,Adelaide,10-Dec-99
24,5,77,1,3.2,4,2,v India,Melbourne,26-Dec-99
26,7,63,1,2.42,3,4,v India,Melbourne,26-Dec-99
12,4,22,0,1.83,4,1,v India,Sydney,2-Jan-00
13,1,60,0,4.61,5,3,v India,Sydney,2-Jan-00
22,4,68,3,3.09,3,2,v New Zealand,Auckland,11-Mar-00
20.3,5,80,2,3.9,4,4,v New Zealand,Auckland,11-Mar-00
14.5,1,68,4,4.58,4,1,v New Zealand,Wellington,24-Mar-00
27,7,92,3,3.4,4,3,v New Zealand,Wellington,24-Mar-00
20,5,45,1,2.25,3,1,v New Zealand,Hamilton,31-Mar-00
25,11,61,2,2.44,4,3,v New Zealand,Hamilton,31-Mar-00
22,7,47,4,2.13,4,1,v India,Mumbai,27-Feb-01
28,11,60,1,2.14,3,3,v India,Mumbai,27-Feb-01
20.1,3,65,2,3.22,4,2,v India,Kolkata,11-Mar-01
34,3,152,1,4.47,3,3,v India,Kolkata,11-Mar-01
42,7,140,2,3.33,4,2,v India,Chennai,18-Mar-01
6,0,41,0,6.83,4,4,v India,Chennai,18-Mar-01
19,4,71,5,3.73,4,1,v England,Birmingham,5-Jul-01
10.1,4,29,3,2.85,3,3,v England,Birmingham,5-Jul-01
5.3,0,16,2,2.9,4,1,v England,Lord's,19-Jul-01
20,4,58,1,2.9,4,3,v England,Lord's,19-Jul-01
16,4,37,2,2.31,4,1,v England,Nottingham,2-Aug-01
18,5,33,6,1.83,4,3,v England,Nottingham,2-Aug-01
16,2,49,0,3.06,4,2,v England,Leeds,16-Aug-01
18.2,3,58,1,3.16,3,4,v England,Leeds,16-Aug-01
44.2,7,165,7,3.72,3,2,v England,The Oval,23-Aug-01
28,8,64,4,2.28,3,3,v England,The Oval,23-Aug-01
18,2,61,0,3.38,4,2,v New Zealand,Brisbane,8-Nov-01
18,2,89,3,4.94,4,4,v New Zealand,Brisbane,8-Nov-01
24.2,3,70,1,2.87,3,2,v New Zealand,Hobart,22-Nov-01
43,9,135,1,3.13,4,1,v New Zealand,Perth,30-Nov-01
21,3,75,1,3.57,4,3,v New Zealand,Perth,30-Nov-01
39.4,9,113,5,2.84,3,2,v South Africa,Adelaide,14-Dec-01
29,7,57,3,1.96,3,4,v South Africa,Adelaide,14-Dec-01
19,3,56,0,2.94,4,1,v South Africa,Melbourne,26-Dec-01
24,3,68,3,2.83,3,3,v South Africa,Melbourne,26-Dec-01
19,5,47,3,2.47,4,2,v South Africa,Sydney,2-Jan-02
42.5,8,132,3,3.08,2,3,v South Africa,Sydney,2-Jan-02
9,0,26,2,2.88,3,2,v South Africa,Johannesburg,22-Feb-02
12,3,44,4,3.66,4,3,v South Africa,Johannesburg,22-Feb-02
28,10,70,2,2.5,4,1,v South Africa,Cape Town,8-Mar-02
70,15,161,6,2.3,3,3,v South Africa,Cape Town,8-Mar-02
13,4,33,4,2.53,4,2,v South Africa,Durban,15-Mar-02
30,6,108,2,3.6,4,4,v South Africa,Durban,15-Mar-02
24.3,7,94,7,3.83,4,2,v Pakistan,Colombo (PSS),3-Oct-02
30.3,3,94,4,3.08,4,4,v Pakistan,Colombo (PSS),3-Oct-02
11,4,11,4,1,4,1,v Pakistan,Sharjah,11-Oct-02
6.5,2,13,4,1.9,4,3,v Pakistan,Sharjah,11-Oct-02
30.1,10,74,5,2.45,3,2,v Pakistan,Sharjah,19-Oct-02
21,3,56,3,2.66,4,3,v Pakistan,Sharjah,19-Oct-02
26.5,4,87,1,3.24,4,2,v England,Brisbane,7-Nov-02
10.2,3,29,3,2.8,3,4,v England,Brisbane,7-Nov-02
34,10,93,4,2.73,4,1,v England,Adelaide,21-Nov-02
25,7,36,3,1.44,3,3,v England,Adelaide,21-Nov-02
9,0,32,1,3.55,4,1,v England,Perth,29-Nov-02
26,5,70,2,2.69,4,3,v England,Perth,29-Nov-02
42.4,9,116,5,2.71,3,2,v Sri Lanka,Galle,8-Mar-04
15,5,43,5,2.86,1,4,v Sri Lanka,Galle,8-Mar-04
20.1,3,65,5,3.22,3,2,v Sri Lanka,Kandy,16-Mar-04
21.1,2,90,5,4.25,3,4,v Sri Lanka,Kandy,16-Mar-04
36,7,115,2,3.19,4,2,v Sri Lanka,Colombo (SSC),24-Mar-04
33,11,92,4,2.78,3,4,v Sri Lanka,Colombo (SSC),24-Mar-04
6.5,1,20,3,2.92,4,2,v Sri Lanka,Darwin,1-Jul-04
19,2,61,0,3.21,4,4,v Sri Lanka,Darwin,1-Jul-04
38,7,129,3,3.39,4,2,v Sri Lanka,Cairns,9-Jul-04
37,14,70,4,1.89,3,4,v Sri Lanka,Cairns,9-Jul-04
28,4,78,2,2.78,3,2,v India,Bangalore,6-Oct-04
32,8,115,2,3.59,4,4,v India,Bangalore,6-Oct-04
42.3,5,125,6,2.94,3,2,v India,Chennai,14-Oct-04
DNB,-,-,-,-,-,4,v India,Chennai,14-Oct-04
23,8,47,2,2.04,4,2,v India,Nagpur,26-Oct-04
14.3,2,56,2,3.86,4,4,v India,Nagpur,26-Oct-04
29.3,3,97,4,3.28,4,1,v New Zealand,Brisbane,18-Nov-04
10.2,3,15,4,1.45,4,3,v New Zealand,Brisbane,18-Nov-04
28,5,65,1,2.32,3,2,v New Zealand,Adelaide,26-Nov-04
27.3,6,79,2,2.87,4,4,v New Zealand,Adelaide,26-Nov-04
21,9,38,3,1.8,4,2,v Pakistan,Perth,16-Dec-04
DNB,-,-,-,-,-,4,v Pakistan,Perth,16-Dec-04
28.3,2,103,3,3.61,4,1,v Pakistan,Melbourne,26-Dec-04
25,7,66,3,2.64,4,3,v Pakistan,Melbourne,26-Dec-04
24,4,84,1,3.5,4,1,v Pakistan,Sydney,2-Jan-05
26,2,111,4,4.26,3,3,v Pakistan,Sydney,2-Jan-05
40,6,112,2,2.8,4,1,v New Zealand,Christchurch,10-Mar-05
14,3,39,5,2.78,4,3,v New Zealand,Christchurch,10-Mar-05
28.1,7,69,3,2.44,4,2,v New Zealand,Wellington,18-Mar-05
3.2,0,14,0,4.2,3,3,v New Zealand,Wellington,18-Mar-05
23,4,63,3,2.73,4,1,v New Zealand,Auckland,26-Mar-05
23,5,77,4,3.34,4,3,v New Zealand,Auckland,26-Mar-05
7,2,19,2,2.71,4,2,v England,Lord's,21-Jul-05
20,2,64,4,3.2,4,4,v England,Lord's,21-Jul-05
25.2,4,116,4,4.57,4,1,v England,Birmingham,4-Aug-05
23.1,7,46,6,1.98,4,3,v England,Birmingham,4-Aug-05
33.2,5,99,4,2.97,4,1,v England,Manchester,11-Aug-05
25,3,74,0,2.96,3,3,v England,Manchester,11-Aug-05
29.1,4,102,4,3.49,4,1,v England,Nottingham,25-Aug-05
13.5,2,31,4,2.24,3,4,v England,Nottingham,25-Aug-05
37.3,5,122,6,3.25,4,1,v England,The Oval,8-Sep-05
38.3,3,124,6,3.22,3,3,v England,The Oval,8-Sep-05
12,3,23,3,1.91,4,2,v ICC World XI,Sydney,14-Oct-05
19,4,48,3,2.52,3,4,v ICC World XI,Sydney,14-Oct-05
28,9,48,5,1.71,4,2,v West Indies,Brisbane,3-Nov-05
2,1,1,0,0.5,5,4,v West Indies,Brisbane,3-Nov-05
11,2,48,0,4.36,4,1,v West Indies,Hobart,17-Nov-05
39,4,112,4,2.87,4,3,v West Indies,Hobart,17-Nov-05
19.2,2,77,1,3.98,4,1,v West Indies,Adelaide,25-Nov-05
33,9,80,6,2.42,4,3,v West Indies,Adelaide,25-Nov-05
29,4,92,3,3.17,4,2,v South Africa,Perth,16-Dec-05
47,21,83,3,1.76,3,4,v South Africa,Perth,16-Dec-05
21,7,62,2,2.95,4,2,v South Africa,Melbourne,26-Dec-05
28,7,74,4,2.64,3,4,v South Africa,Melbourne,26-Dec-05
36,5,106,2,2.94,4,1,v South Africa,Sydney,2-Jan-06
11,1,45,0,4.09,3,3,v South Africa,Sydney,2-Jan-06
9,0,41,0,4.55,5,1,v South Africa,Cape Town,16-Mar-06
18.5,1,77,3,4.08,4,3,v South Africa,Cape Town,16-Mar-06
25,2,80,2,3.2,3,2,v South Africa,Durban,24-Mar-06
35.5,9,86,6,2.4,4,4,v South Africa,Durban,24-Mar-06
13,2,49,1,3.76,4,1,v South Africa,Johannesburg,31-Mar-06
26,5,90,3,3.46,6,3,v South Africa,Johannesburg,31-Mar-06
20,1,112,0,5.6,4,1,v Bangladesh,Fatullah,9-Apr-06
13,4,28,3,2.15,5,3,v Bangladesh,Fatullah,9-Apr-06
18.2,3,47,3,2.56,3,1,v Bangladesh,Chittagong,16-Apr-06
36,4,113,5,3.13,3,3,v Bangladesh,Chittagong,16-Apr-06
9,0,25,0,2.77,4,2,v England,Brisbane,23-Nov-06
34,7,124,4,3.64,4,4,v England,Brisbane,23-Nov-06
53,9,167,1,3.15,4,1,v England,Adelaide,1-Dec-06
32,12,49,4,1.53,3,3,v England,Adelaide,1-Dec-06
9,0,41,1,4.55,4,2,v England,Perth,14-Dec-06
39.2,6,115,4,2.92,4,4,v England,Perth,14-Dec-06
17.2,4,39,5,2.25,5,1,v England,Melbourne,26-Dec-06
19,3,46,2,2.42,4,3,v England,Melbourne,26-Dec-06
22.4,1,69,1,3.04,4,1,v England,Sydney,2-Jan-07
6,1,23,1,3.83,4,3,v England,Sydney,2-Jan-07
