Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
45,7,150,1,3.33,5,2,v India,Sydney,2-Jan-92
7,1,18,0,2.57,4,2,v India,Adelaide,25-Jan-92
16,1,60,0,3.75,5,4,v India,Adelaide,25-Jan-92
22,2,107,0,4.86,5,2,v Sri Lanka,Colombo (SSC),17-Aug-92
5.1,3,11,3,2.12,6,4,v Sri Lanka,Colombo (SSC),17-Aug-92
11,3,40,0,3.63,5,2,v Sri Lanka,Moratuwa,8-Sep-92
24,7,65,1,2.7,4,2,v West Indies,Melbourne,26-Dec-92
23.2,8,52,7,2.22,4,4,v West Indies,Melbourne,26-Dec-92
41,6,116,1,2.82,5,2,v West Indies,Sydney,2-Jan-93
2,0,11,0,5.5,5,1,v West Indies,Adelaide,23-Jan-93
6,2,18,1,3,5,3,v West Indies,Adelaide,23-Jan-93
12,0,51,0,4.25,4,2,v West Indies,Perth,30-Jan-93
22,12,23,3,1.04,5,2,v New Zealand,Christchurch,25-Feb-93
26,7,63,4,2.42,5,3,v New Zealand,Christchurch,25-Feb-93
29,9,59,2,2.03,5,1,v New Zealand,Wellington,4-Mar-93
40,25,49,2,1.22,3,3,v New Zealand,Wellington,4-Mar-93
15,12,8,4,0.53,4,2,v New Zealand,Auckland,12-Mar-93
27,8,54,2,2,4,4,v New Zealand,Auckland,12-Mar-93
24,10,51,4,2.12,4,2,v England,Manchester,3-Jun-93
49,26,86,4,1.75,4,4,v England,Manchester,3-Jun-93
35,12,57,4,1.62,5,2,v England,Lord's,17-Jun-93
48.5,17,102,4,2.08,5,3,v England,Lord's,17-Jun-93
40,17,74,3,1.85,3,1,v England,Nottingham,1-Jul-93
50,21,108,3,2.16,4,3,v England,Nottingham,1-Jul-93
23,9,43,1,1.86,4,2,v England,Leeds,22-Jul-93
40,16,63,0,1.57,3,3,v England,Leeds,22-Jul-93
21,7,63,1,3,6,1,v England,Birmingham,5-Aug-93
49,23,82,5,1.67,4,3,v England,Birmingham,5-Aug-93
20,5,70,2,3.5,4,1,v England,The Oval,19-Aug-93
40,15,78,3,1.95,3,3,v England,The Oval,19-Aug-93
37.1,6,90,1,2.42,4,2,v New Zealand,Perth,12-Nov-93
13,6,23,0,1.76,5,4,v New Zealand,Perth,12-Nov-93
18,5,36,3,2,6,2,v New Zealand,Hobart,26-Nov-93
19.5,9,31,6,1.56,5,3,v New Zealand,Hobart,26-Nov-93
28.3,12,66,4,2.31,6,1,v New Zealand,Brisbane,3-Dec-93
35,11,59,4,1.68,4,3,v New Zealand,Brisbane,3-Dec-93
31,8,63,1,2.03,5,2,v South Africa,Melbourne,26-Dec-93
27,8,56,7,2.07,3,1,v South Africa,Sydney,2-Jan-94
42,17,72,5,1.71,4,3,v South Africa,Sydney,2-Jan-94
44.2,15,85,1,1.91,4,2,v South Africa,Adelaide,28-Jan-94
30.5,15,31,4,1,3,4,v South Africa,Adelaide,28-Jan-94
14,4,42,1,3,5,1,v South Africa,Johannesburg,4-Mar-94
44.5,14,86,4,1.91,6,3,v South Africa,Johannesburg,4-Mar-94
47,18,78,3,1.65,5,1,v South Africa,Cape Town,17-Mar-94
30,13,38,3,1.26,3,3,v South Africa,Cape Town,17-Mar-94
55,20,92,4,1.67,4,2,v South Africa,Durban,25-Mar-94
27,10,61,3,2.25,4,2,v Pakistan,Karachi,28-Sep-94
36.1,12,89,5,2.46,4,4,v Pakistan,Karachi,28-Sep-94
21.4,8,58,1,2.67,3,2,v Pakistan,Rawalpindi,5-Oct-94
25,6,56,0,2.24,5,3,v Pakistan,Rawalpindi,5-Oct-94
41.5,12,136,6,3.25,3,1,v Pakistan,Lahore,1-Nov-94
30,2,104,3,3.46,3,3,v Pakistan,Lahore,1-Nov-94
21.2,7,39,3,1.82,4,2,v England,Brisbane,25-Nov-94
50.2,22,71,8,1.41,3,4,v England,Brisbane,25-Nov-94
27.4,8,64,6,2.31,4,2,v England,Melbourne,24-Dec-94
13,6,16,3,1.23,3,4,v England,Melbourne,24-Dec-94
36,10,88,1,2.44,3,1,v England,Sydney,1-Jan-95
16,2,48,0,3,4,3,v England,Sydney,1-Jan-95
31,9,72,2,2.32,4,1,v England,Adelaide,26-Jan-95
30.5,9,82,2,2.65,3,3,v England,Adelaide,26-Jan-95
23,8,58,2,2.52,5,2,v England,Perth,3-Feb-95
7,3,11,0,1.57,4,4,v England,Perth,3-Feb-95
12,2,57,2,4.75,3,1,v West Indies,Bridgetown,31-Mar-95
26.3,5,64,3,2.41,3,3,v West Indies,Bridgetown,31-Mar-95
28,9,83,3,2.96,3,2,v West Indies,St John's,8-Apr-95
7,0,18,0,2.57,3,4,v West Indies,St John's,8-Apr-95
12,5,16,1,1.33,5,2,v West Indies,Port of Spain,21-Apr-95
3.5,0,26,0,6.78,4,4,v West Indies,Port of Spain,21-Apr-95
25,6,72,2,2.88,4,1,v West Indies,Kingston,29-Apr-95
23.4,8,70,4,2.95,3,3,v West Indies,Kingston,29-Apr-95
16.1,9,23,7,1.42,3,2,v Pakistan,Brisbane,9-Nov-95
27.5,10,54,4,1.94,4,3,v Pakistan,Brisbane,9-Nov-95
DNB,-,-,-,-,-,2,v Pakistan,Hobart,17-Nov-95
DNB,-,-,-,-,-,4,v Pakistan,Hobart,17-Nov-95
34,20,55,4,1.61,4,1,v Pakistan,Sydney,30-Nov-95
37,13,66,4,1.78,3,3,v Pakistan,Sydney,30-Nov-95
27,7,75,3,2.77,4,1,v Sri Lanka,Perth,8-Dec-95
29.4,6,96,3,3.23,3,3,v Sri Lanka,Perth,8-Dec-95
18,5,49,1,2.72,5,2,v Sri Lanka,Melbourne,26-Dec-95
37,10,71,4,1.91,4,3,v Sri Lanka,Melbourne,26-Dec-95
26,4,74,0,2.84,3,2,v Sri Lanka,Adelaide,25-Jan-96
27,11,68,1,2.51,4,4,v Sri Lanka,Adelaide,25-Jan-96
27,3,88,2,3.25,4,2,v West Indies,Brisbane,22-Nov-96
41,16,92,2,2.24,3,4,v West Indies,Brisbane,22-Nov-96
35.2,13,65,3,1.83,3,2,v West Indies,Sydney,29-Nov-96
27.4,5,95,4,3.43,4,4,v West Indies,Sydney,29-Nov-96
28.1,3,72,3,2.55,3,2,v West Indies,Melbourne,26-Dec-96
3,0,17,0,5.66,3,4,v West Indies,Melbourne,26-Dec-96
16,4,42,3,2.62,4,1,v West Indies,Adelaide,25-Jan-97
20,4,68,3,3.4,4,3,v West Indies,Adelaide,25-Jan-97
19,8,55,2,2.89,4,2,v West Indies,Perth,1-Feb-97
DNB,-,-,-,-,-,4,v West Indies,Perth,1-Feb-97
27.4,9,68,2,2.45,3,1,v South Africa,Johannesburg,28-Feb-97
28,15,43,4,1.53,3,3,v South Africa,Johannesburg,28-Feb-97
23.4,5,62,3,2.61,3,1,v South Africa,Port Elizabeth,14-Mar-97
17.4,7,20,2,1.13,5,3,v South Africa,Port Elizabeth,14-Mar-97
36,11,89,0,2.47,4,2,v South Africa,Centurion,21-Mar-97
DNB,-,-,-,-,-,4,v South Africa,Centurion,21-Mar-97
35,8,110,1,3.14,4,2,v England,Birmingham,5-Jun-97
7.3,0,27,0,3.6,3,4,v England,Birmingham,5-Jun-97
2,0,9,0,4.5,4,1,v England,Lord's,19-Jun-97
19,4,47,2,2.47,4,3,v England,Lord's,19-Jun-97
30,14,48,6,1.6,3,2,v England,Manchester,3-Jul-97
30.4,8,63,3,2.05,4,4,v England,Manchester,3-Jul-97
1,0,2,0,2,5,1,v England,Leeds,24-Jul-97
21,6,53,1,2.52,4,3,v England,Leeds,24-Jul-97
32,8,86,4,2.68,4,2,v England,Nottingham,7-Aug-97
16,4,43,3,2.68,4,4,v England,Nottingham,7-Aug-97
17,8,32,2,1.88,3,1,v England,The Oval,21-Aug-97
26,9,57,2,2.19,3,3,v England,The Oval,21-Aug-97
42,13,106,4,2.52,3,2,v New Zealand,Brisbane,7-Nov-97
25,6,54,3,2.16,4,4,v New Zealand,Brisbane,7-Nov-97
22.4,3,83,4,3.66,4,1,v New Zealand,Perth,20-Nov-97
26,4,64,2,2.46,3,3,v New Zealand,Perth,20-Nov-97
