Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
28,9,45,0,1.6,4,3,v Sri Lanka,Ahmedabad,8-Feb-94
23,8,34,1,1.47,3,1,v New Zealand,Hamilton,19-Mar-94
27,6,68,1,2.51,4,3,v New Zealand,Hamilton,19-Mar-94
23.5,7,48,3,2.01,3,2,v West Indies,Mumbai,18-Nov-94
12,1,39,0,3.25,4,4,v West Indies,Mumbai,18-Nov-94
51,15,131,3,2.56,5,2,v West Indies,Nagpur,1-Dec-94
23,7,45,3,1.95,2,4,v West Indies,Nagpur,1-Dec-94
29,3,90,4,3.1,5,1,v West Indies,Mohali,10-Dec-94
7,0,56,0,8,3,3,v West Indies,Mohali,10-Dec-94
18,5,39,4,2.16,4,1,v New Zealand,Bangalore,18-Oct-95
27.2,4,81,5,2.96,3,3,v New Zealand,Bangalore,18-Oct-95
TDNB,-,-,-,-,-,-,v New Zealand,Chennai,25-Oct-95
27,12,32,1,1.18,4,2,v New Zealand,Cuttack,8-Nov-95
24,4,77,1,3.2,3,2,v England,Birmingham,6-Jun-96
5,3,9,0,1.8,3,4,v England,Birmingham,6-Jun-96
28,9,60,0,2.14,4,1,v England,Lord's,20-Jun-96
51,14,90,3,1.76,3,3,v England,Lord's,20-Jun-96
39,6,98,1,2.51,3,2,v England,Nottingham,4-Jul-96
24,7,63,4,2.62,4,1,v Australia,Delhi,10-Oct-96
41,12,67,5,1.63,3,3,v Australia,Delhi,10-Oct-96
31,6,76,2,2.45,3,2,v South Africa,Ahmedabad,20-Nov-96
12,2,34,3,2.83,3,4,v South Africa,Ahmedabad,20-Nov-96
20.1,1,78,2,3.86,5,1,v South Africa,Kolkata,27-Nov-96
32,4,101,1,3.15,3,3,v South Africa,Kolkata,27-Nov-96
27,2,71,4,2.62,3,2,v South Africa,Kanpur,8-Dec-96
24,11,27,1,1.12,3,4,v South Africa,Kanpur,8-Dec-96
20.2,3,61,0,3,5,1,v South Africa,Durban,26-Dec-96
11,3,26,2,2.36,4,3,v South Africa,Durban,26-Dec-96
51,7,136,0,2.66,4,1,v South Africa,Cape Town,2-Jan-97
25,4,58,2,2.32,4,3,v South Africa,Cape Town,2-Jan-97
25,5,63,1,2.52,3,2,v South Africa,Johannesburg,16-Jan-97
23,7,40,3,1.73,3,4,v South Africa,Johannesburg,16-Jan-97
42.4,5,120,5,2.81,3,1,v West Indies,Kingston,6-Mar-97
23,6,76,3,3.3,3,3,v West Indies,Kingston,6-Mar-97
39,8,104,5,2.66,3,1,v West Indies,Port of Spain,14-Mar-97
40,9,109,2,2.72,3,3,v West Indies,Port of Spain,14-Mar-97
16,1,44,1,2.75,4,1,v West Indies,Bridgetown,27-Mar-97
DNB,-,-,-,-,-,3,v West Indies,Bridgetown,27-Mar-97
36,14,93,2,2.58,3,1,v West Indies,St John's,4-Apr-97
4,1,30,1,7.5,4,2,v West Indies,Georgetown,17-Apr-97
72,7,223,1,3.09,4,2,v Sri Lanka,Colombo (RPS),2-Aug-97
25,8,51,1,2.04,4,1,v Sri Lanka,Colombo (SSC),9-Aug-97
38.4,2,156,3,4.03,4,3,v Sri Lanka,Colombo (SSC),9-Aug-97
34,9,81,2,2.38,4,1,v Sri Lanka,Mohali,19-Nov-97
19,5,66,0,3.47,4,3,v Sri Lanka,Mohali,19-Nov-97
TDNB,-,-,-,-,-,-,v Sri Lanka,Nagpur,26-Nov-97
41,19,76,1,1.85,4,2,v Sri Lanka,Mumbai,3-Dec-97
28,13,56,3,2,5,4,v Sri Lanka,Mumbai,3-Dec-97
45,10,103,4,2.28,3,2,v Australia,Chennai,6-Mar-98
22.5,7,46,4,2.01,4,4,v Australia,Chennai,6-Mar-98
28,11,44,3,1.57,3,1,v Australia,Kolkata,18-Mar-98
31,10,62,5,2,3,3,v Australia,Kolkata,18-Mar-98
41.3,8,98,6,2.36,3,2,v Australia,Bangalore,25-Mar-98
22.4,5,63,1,2.77,2,4,v Australia,Bangalore,25-Mar-98
17.4,3,42,3,2.37,6,1,v Zimbabwe,Harare,7-Oct-98
36,4,87,4,2.41,4,3,v Zimbabwe,Harare,7-Oct-98
45.4,17,83,4,1.81,3,2,v New Zealand,Wellington,26-Dec-98
23,6,70,2,3.04,3,4,v New Zealand,Wellington,26-Dec-98
27,7,64,1,2.37,3,1,v New Zealand,Hamilton,2-Jan-99
45.5,13,124,2,2.7,4,3,v New Zealand,Hamilton,2-Jan-99
24.5,7,70,6,2.81,3,1,v Pakistan,Chennai,28-Jan-99
22,4,93,1,4.22,3,3,v Pakistan,Chennai,28-Jan-99
24.3,4,75,4,3.06,4,2,v Pakistan,Delhi,4-Feb-99
26.3,9,74,10,2.79,3,4,v Pakistan,Delhi,4-Feb-99
19.2,8,48,1,2.48,4,1,v Pakistan,Kolkata,16-Feb-99
27,4,91,0,3.37,3,3,v Pakistan,Kolkata,16-Feb-99
54.1,10,134,4,2.47,3,2,v Sri Lanka,Colombo (SSC),24-Feb-99
18,3,49,1,2.72,4,2,v New Zealand,Mohali,10-Oct-99
41,19,42,3,1.02,3,4,v New Zealand,Mohali,10-Oct-99
32.5,12,67,4,2.04,3,1,v New Zealand,Kanpur,22-Oct-99
26.5,5,67,6,2.49,3,3,v New Zealand,Kanpur,22-Oct-99
48,21,82,5,1.7,3,2,v New Zealand,Ahmedabad,29-Oct-99
31,16,57,1,1.83,3,4,v New Zealand,Ahmedabad,29-Oct-99
34,1,101,2,2.97,5,1,v Australia,Adelaide,10-Dec-99
32,9,73,1,2.28,4,3,v Australia,Adelaide,10-Dec-99
29,3,78,0,2.68,5,1,v Australia,Melbourne,26-Dec-99
18,3,72,2,4,4,3,v Australia,Melbourne,26-Dec-99
33.2,6,126,0,3.78,4,2,v Australia,Sydney,2-Jan-00
22,1,62,2,2.81,3,2,v South Africa,Mumbai,24-Feb-00
28,12,56,4,2,3,4,v South Africa,Mumbai,24-Feb-00
68.4,15,143,6,2.08,2,2,v South Africa,Bangalore,2-Mar-00
50,12,132,3,2.64,4,2,v South Africa,Bloemfontein,3-Nov-01
4,0,23,1,5.75,2,4,v South Africa,Bloemfontein,3-Nov-01
29,10,67,1,2.31,4,1,v South Africa,Port Elizabeth,16-Nov-01
9,0,22,0,2.44,6,3,v South Africa,Port Elizabeth,16-Nov-01
19,6,52,2,2.73,4,1,v England,Mohali,3-Dec-01
28.4,6,81,6,2.82,3,3,v England,Mohali,3-Dec-01
51,13,115,7,2.25,4,1,v England,Ahmedabad,11-Dec-01
38,5,118,3,3.1,3,3,v England,Ahmedabad,11-Dec-01
29.3,6,74,1,2.5,3,1,v England,Bangalore,19-Dec-01
DNB,-,-,-,-,-,3,v England,Bangalore,19-Dec-01
33.5,12,82,4,2.42,4,1,v Zimbabwe,Nagpur,21-Feb-02
37,15,63,5,1.7,2,3,v Zimbabwe,Nagpur,21-Feb-02
34,13,88,3,2.58,4,1,v Zimbabwe,Delhi,28-Feb-02
29.3,8,58,4,1.96,4,3,v Zimbabwe,Delhi,28-Feb-02
45.1,7,145,2,3.21,4,1,v West Indies,Georgetown,11-Apr-02
14,5,29,1,2.07,6,2,v West Indies,St John's,10-May-02
42.2,9,128,3,3.02,4,1,v England,Lord's,25-Jul-02
24,1,84,3,3.5,3,3,v England,Lord's,25-Jul-02
33,7,93,3,2.81,4,2,v England,Leeds,22-Aug-02
29.5,12,66,4,2.21,4,3,v England,Leeds,22-Aug-02
35,11,105,1,3,5,1,v England,The Oval,5-Sep-02
10,2,28,0,2.8,3,3,v England,The Oval,5-Sep-02
24.5,5,51,4,2.05,4,2,v West Indies,Mumbai,9-Oct-02
25,8,50,3,2,5,3,v West Indies,Mumbai,9-Oct-02
23.3,10,30,5,1.27,5,1,v West Indies,Chennai,17-Oct-02
26,3,87,1,3.34,4,3,v West Indies,Chennai,17-Oct-02
54,9,169,3,3.12,4,2,v West Indies,Kolkata,30-Oct-02
35.1,11,58,2,1.64,3,2,v New Zealand,Ahmedabad,8-Oct-03
39,12,95,4,2.43,4,4,v New Zealand,Ahmedabad,8-Oct-03
66,18,181,3,2.74,4,1,v New Zealand,Mohali,16-Oct-03
43,3,154,5,3.58,4,1,v Australia,Adelaide,12-Dec-03
17,2,58,1,3.41,4,3,v Australia,Adelaide,12-Dec-03
51,8,176,6,3.45,4,2,v Australia,Melbourne,26-Dec-03
6.2,0,43,0,6.78,3,4,v Australia,Melbourne,26-Dec-03
46.5,7,141,8,3.01,3,2,v Australia,Sydney,2-Jan-04
42,8,138,4,3.28,2,4,v Australia,Sydney,2-Jan-04
39.3,12,100,2,2.53,3,2,v Pakistan,Multan,28-Mar-04
30,10,72,6,2.4,3,3,v Pakistan,Multan,28-Mar-04
44.1,5,146,2,3.3,4,2,v Pakistan,Lahore,5-Apr-04
DNB,-,-,-,-,-,4,v Pakistan,Lahore,5-Apr-04
8.5,2,24,1,2.71,5,1,v Pakistan,Rawalpindi,13-Apr-04
8,2,47,4,5.87,3,3,v Pakistan,Rawalpindi,13-Apr-04
39,4,157,3,4.02,4,1,v Australia,Bangalore,6-Oct-04
23,4,64,2,2.78,4,3,v Australia,Bangalore,6-Oct-04
17.3,4,48,7,2.74,4,1,v Australia,Chennai,14-Oct-04
47,8,133,6,2.82,4,3,v Australia,Chennai,14-Oct-04
25,6,99,2,3.96,3,1,v Australia,Nagpur,26-Oct-04
21,1,89,1,4.23,3,3,v Australia,Nagpur,26-Oct-04
19,0,90,5,4.73,3,2,v Australia,Mumbai,3-Nov-04
6,3,5,1,0.83,4,4,v Australia,Mumbai,3-Nov-04
54,13,131,6,2.42,3,1,v South Africa,Kanpur,20-Nov-04
21,8,52,0,2.47,2,3,v South Africa,Kanpur,20-Nov-04
30,6,76,1,2.53,3,1,v South Africa,Kolkata,28-Nov-04
34.4,7,82,3,2.36,3,3,v South Africa,Kolkata,28-Nov-04
13.5,2,45,2,3.25,4,1,v Bangladesh,Dhaka,10-Dec-04
13,4,42,2,3.23,3,3,v Bangladesh,Dhaka,10-Dec-04
26,9,55,4,2.11,3,2,v Bangladesh,Chittagong,17-Dec-04
4,2,2,2,0.5,3,3,v Bangladesh,Chittagong,17-Dec-04
22,6,76,2,3.45,4,1,v Pakistan,Mohali,8-Mar-05
54,16,160,4,2.96,3,3,v Pakistan,Mohali,8-Mar-05
37.1,11,98,3,2.63,3,2,v Pakistan,Kolkata,16-Mar-05
38,16,63,7,1.65,3,4,v Pakistan,Kolkata,16-Mar-05
46,8,159,0,3.45,3,1,v Pakistan,Bangalore,24-Mar-05
21,1,88,1,4.19,3,3,v Pakistan,Bangalore,24-Mar-05
26,7,71,2,2.73,4,1,v Zimbabwe,Bulawayo,13-Sep-05
12,2,43,1,3.58,4,3,v Zimbabwe,Bulawayo,13-Sep-05
7,1,19,0,2.71,4,1,v Zimbabwe,Harare,20-Sep-05
11,3,52,1,4.72,4,3,v Zimbabwe,Harare,20-Sep-05
15,3,41,3,2.73,5,2,v Sri Lanka,Chennai,2-Dec-05
28,6,72,6,2.57,3,2,v Sri Lanka,Delhi,10-Dec-05
36,7,85,4,2.36,3,4,v Sri Lanka,Delhi,10-Dec-05
25,3,87,2,3.48,3,2,v Sri Lanka,Ahmedabad,18-Dec-05
34.3,9,89,5,2.57,4,4,v Sri Lanka,Ahmedabad,18-Dec-05
39.3,2,178,2,4.5,5,1,v Pakistan,Lahore,13-Jan-06
35.2,5,150,3,4.24,5,1,v Pakistan,Faisalabad,21-Jan-06
21,3,118,1,5.61,3,3,v Pakistan,Faisalabad,21-Jan-06
10,1,32,0,3.2,5,1,v Pakistan,Karachi,29-Jan-06
37.1,3,151,3,4.06,4,3,v Pakistan,Karachi,29-Jan-06
40,13,88,1,2.2,4,1,v England,Nagpur,1-Mar-06
32,8,101,1,3.15,3,3,v England,Nagpur,1-Mar-06
29.4,8,76,5,2.56,5,1,v England,Mohali,9-Mar-06
29,7,70,4,2.41,4,3,v England,Mohali,9-Mar-06
39,7,84,1,2.15,4,1,v England,Mumbai,18-Mar-06
30.4,13,49,4,1.59,4,3,v England,Mumbai,18-Mar-06
27.3,6,86,3,3.12,4,2,v West Indies,St John's,2-Jun-06
34,8,107,4,3.14,3,4,v West Indies,St John's,2-Jun-06
30,12,57,3,1.9,3,2,v West Indies,Gros Islet,10-Jun-06
42,10,98,3,2.33,4,3,v West Indies,Gros Islet,10-Jun-06
47,8,140,0,2.97,3,1,v West Indies,Basseterre,22-Jun-06
12,0,60,3,5,3,3,v West Indies,Basseterre,22-Jun-06
8,3,32,1,4,3,2,v West Indies,Kingston,30-Jun-06
22.4,3,78,6,3.44,4,4,v West Indies,Kingston,30-Jun-06
2,1,2,2,1,4,2,v South Africa,Johannesburg,15-Dec-06
20,4,54,3,2.7,5,4,v South Africa,Johannesburg,15-Dec-06
28.3,1,62,3,2.17,4,1,v South Africa,Durban,26-Dec-06
16,4,37,1,2.31,4,3,v South Africa,Durban,26-Dec-06
42.3,6,117,4,2.75,3,2,v South Africa,Cape Town,2-Jan-07
25,4,74,1,2.96,3,4,v South Africa,Cape Town,2-Jan-07
DNB,-,-,-,-,-,2,v Bangladesh,Chittagong,18-May-07
DNB,-,-,-,-,-,4,v Bangladesh,Chittagong,18-May-07
9.2,3,32,3,3.42,3,2,v Bangladesh,Dhaka,25-May-07
15,1,72,2,4.8,4,3,v Bangladesh,Dhaka,25-May-07
23,2,60,2,2.6,5,1,v England,Lord's,19-Jul-07
17,3,70,1,4.11,4,3,v England,Lord's,19-Jul-07
12.3,2,32,3,2.56,5,1,v England,Nottingham,27-Jul-07
25,2,104,3,4.16,4,3,v England,Nottingham,27-Jul-07
29.1,7,94,3,3.22,3,2,v England,The Oval,9-Aug-07
37,9,123,2,3.32,3,4,v England,The Oval,9-Aug-07
21.2,6,38,4,1.78,3,1,v Pakistan,Delhi,22-Nov-07
27.1,8,68,3,2.5,3,3,v Pakistan,Delhi,22-Nov-07
47,14,122,3,2.59,4,2,v Pakistan,Kolkata,30-Nov-07
25,4,73,2,2.92,2,4,v Pakistan,Kolkata,30-Nov-07
44,12,116,1,2.63,3,2,v Pakistan,Bangalore,8-Dec-07
14,2,60,5,4.28,3,4,v Pakistan,Bangalore,8-Dec-07
25,4,84,5,3.36,5,1,v Australia,Melbourne,26-Dec-07
25,2,102,2,4.08,3,3,v Australia,Melbourne,26-Dec-07
25.3,0,106,4,4.15,5,1,v Australia,Sydney,2-Jan-08
40,3,148,4,3.7,4,3,v Australia,Sydney,2-Jan-08
12,1,42,2,3.5,4,2,v Australia,Perth,16-Jan-08
24,2,98,2,4.08,4,4,v Australia,Perth,16-Jan-08
30,4,109,1,3.63,5,2,v Australia,Adelaide,24-Jan-08
45,11,106,2,2.35,3,1,v South Africa,Chennai,26-Mar-08
20,2,57,1,2.85,5,3,v South Africa,Chennai,26-Mar-08
33,2,78,1,2.36,5,2,v South Africa,Ahmedabad,3-Apr-08
37,4,121,0,3.27,5,1,v Sri Lanka,Colombo (SSC),23-Jul-08
36,7,81,3,2.25,3,2,v Sri Lanka,Galle,31-Jul-08
10.3,3,41,2,3.9,3,4,v Sri Lanka,Galle,31-Jul-08
41.2,4,123,3,2.97,4,2,v Sri Lanka,Colombo (PSS),8-Aug-08
10,2,34,0,3.4,3,4,v Sri Lanka,Colombo (PSS),8-Aug-08
43,6,129,0,3,4,1,v Australia,Bangalore,9-Oct-08
8,0,31,0,3.87,5,3,v Australia,Bangalore,9-Oct-08
43.3,9,112,3,2.57,3,2,v Australia,Delhi,29-Oct-08
4,0,14,0,3.5,1,4,v Australia,Delhi,29-Oct-08
