Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
43,7,105,3,2.44,3,1,v England,Manchester,9-Aug-90
17,3,65,0,3.82,3,3,v England,Manchester,9-Aug-90
35.2,11,79,3,2.23,5,1,v Zimbabwe,Harare,18-Oct-92
9,1,15,0,1.66,5,3,v Zimbabwe,Harare,18-Oct-92
28,8,51,2,1.82,4,1,v South Africa,Durban,13-Nov-92
16,4,36,1,2.25,4,3,v South Africa,Durban,13-Nov-92
26,8,60,2,2.3,4,1,v South Africa,Johannesburg,26-Nov-92
44,22,53,6,1.2,4,3,v South Africa,Johannesburg,26-Nov-92
50.3,16,81,3,1.6,3,2,v South Africa,Port Elizabeth,26-Dec-92
20,5,65,0,3.25,3,4,v South Africa,Port Elizabeth,26-Dec-92
47,13,101,3,2.14,5,1,v South Africa,Cape Town,2-Jan-93
23,11,20,1,0.86,4,3,v South Africa,Cape Town,2-Jan-93
29,8,50,3,1.72,3,2,v England,Kolkata,29-Jan-93
40,16,76,3,1.9,3,3,v England,Kolkata,29-Jan-93
25,9,61,2,2.44,2,2,v England,Chennai,11-Feb-93
21,7,64,6,3.04,5,3,v England,Chennai,11-Feb-93
40,4,95,3,2.37,4,1,v England,Mumbai,19-Feb-93
26,9,70,4,2.69,3,3,v England,Mumbai,19-Feb-93
43,12,90,3,2.09,4,2,v Zimbabwe,Delhi,13-Mar-93
38.5,16,70,5,1.8,4,3,v Zimbabwe,Delhi,13-Mar-93
DNB,-,-,-,-,-,1,v Sri Lanka,Kandy,17-Jul-93
24,3,87,5,3.62,4,2,v Sri Lanka,Colombo (SSC),27-Jul-93
38.1,14,85,3,2.22,5,4,v Sri Lanka,Colombo (SSC),27-Jul-93
40,12,95,2,2.37,5,1,v Sri Lanka,Colombo (PSS),4-Aug-93
38.2,7,108,3,2.81,3,3,v Sri Lanka,Colombo (PSS),4-Aug-93
37,10,69,4,1.86,4,2,v Sri Lanka,Lucknow,18-Jan-94
27.3,9,59,7,2.14,4,3,v Sri Lanka,Lucknow,18-Jan-94
13,2,50,3,3.84,3,2,v Sri Lanka,Bangalore,26-Jan-94
16,3,64,3,4,3,3,v Sri Lanka,Bangalore,26-Jan-94
15,3,30,1,2,3,1,v Sri Lanka,Ahmedabad,8-Feb-94
